doc_id,orig_quest,questions
1c104955-583e-4640-b2bc-157c2419b452,Q: What does hypnosis feel like?,How might I experience hypnosis differently from others?
1c104955-583e-4640-b2bc-157c2419b452,Q: What does hypnosis feel like?,Can I expect to feel relaxed during and after hypnosis?
1c104955-583e-4640-b2bc-157c2419b452,Q: What does hypnosis feel like?,Is it possible to use hypnosis incorrectly or get it 'wrong'?
d1391e4a-c910-4462-8fe6-dbcb254e7470,Q: Is it Confidential?,Q: Is the hypnotherapy session confidential?
d1391e4a-c910-4462-8fe6-dbcb254e7470,Q: Is it Confidential?,Q: Are the details of my treatment kept private and confidential?
d1391e4a-c910-4462-8fe6-dbcb254e7470,Q: Is it Confidential?,Q: Will the information disclosed during hypnotherapy be shared with others?
d1391e4a-c910-4462-8fe6-dbcb254e7470,Q: Is it Confidential?,Q: What are the confidentiality policies for the hypnotherapy services?
d1391e4a-c910-4462-8fe6-dbcb254e7470,Q: Is it Confidential?,Q: How does the UK NCH Code of Ethics ensure the confidentiality of my sessions?
ce3a25a9-cf78-44c3-b0dd-48bb8664c974,Q: I feel quite slightly embarrassed to seek help. Is this normal?,I feel quite slightly embarrassed to seek help. Is it normal to feel this way?
ce3a25a9-cf78-44c3-b0dd-48bb8664c974,Q: I feel quite slightly embarrassed to seek help. Is this normal?,Will my concerns and fears about seeking help persist even after the initial consultation?
ce3a25a9-cf78-44c3-b0dd-48bb8664c974,Q: I feel quite slightly embarrassed to seek help. Is this normal?,What are some of the barriers that I might pass by during the hypnotherapy process?
ce3a25a9-cf78-44c3-b0dd-48bb8664c974,Q: I feel quite slightly embarrassed to seek help. Is this normal?,Is it common for people to have reservations or queries before committing to hypnotherapy?
ce3a25a9-cf78-44c3-b0dd-48bb8664c974,Q: I feel quite slightly embarrassed to seek help. Is this normal?,Will we discuss any fears or concerns I have about hypnotherapy during the initial consultation?
